ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close
AVGO,2025-09-12,2025-09-12,EXTREME_PERSISTENCE,80,2025-09-05,80.38180718927694,357.2523804
AVGO,2025-09-26,2025-09-26,EXTREME_DECELERATION,80,2025-09-05,69.0712371157475,332.6656799
AVGO,2025-09-26,2025-09-26,COOLING_EXIT,80,2025-09-05,69.0712371157475,332.6656799
BA,2013-04-26,2013-04-26,EXTREME_ENTRY,75,2013-04-26,76.6380120298279,78.30710602
BA,2013-05-03,2013-05-03,EXTREME_PERSISTENCE,75,2013-04-26,77.46086775817916,79.05771637
BA,2013-05-17,2013-05-17,EXTREME_ESCALATION,80,2013-04-26,82.0815214680027,83.85545349
BA,2013-06-21,2013-06-21,EXTREME_DECELERATION,80,2013-04-26,74.40495513133271,84.75400543
BA,2013-08-09,2013-08-09,COOLING_EXIT,80,2013-04-26,69.59957108037719,89.69567108
BA,2013-09-20,2013-09-20,EXTREME_ENTRY,75,2013-09-20,76.350366549422,99.31838226
BA,2013-09-27,2013-09-27,EXTREME_PERSISTENCE,75,2013-09-20,77.79898918341193,101.1151733
BA,2013-10-25,2013-10-25,EXTREME_ESCALATION,80,2013-09-20,82.87511630819478,111.7172089
BA,2013-11-29,2013-11-29,EXTREME_DECELERATION,80,2013-09-20,80.62286699745772,114.7396545
BA,2014-01-24,2014-01-24,COOLING_EXIT,80,2013-09-20,69.59374263766342,116.7908325
BA,2015-02-20,2015-02-20,EXTREME_ENTRY,75,2015-02-20,75.73901576716409,139.3178711
BA,2015-02-27,2015-02-27,COOLING_EXIT,75,2015-02-20,65.7096674295286,132.7528534
BA,2017-01-27,2017-01-27,EXTREME_ENTRY,75,2017-01-27,76.6907866516323,155.4819031
BA,2017-02-03,2017-02-03,COOLING_EXIT,75,2017-01-27,67.7119392783641,150.5680389
BA,2017-02-17,2017-02-17,EXTREME_ENTRY,75,2017-02-17,75.0203167608681,161.5042877
BA,2017-02-24,2017-02-24,EXTREME_PERSISTENCE,75,2017-02-17,77.32894654386442,165.9274139
BA,2017-03-24,2017-03-24,COOLING_EXIT,75,2017-02-17,68.4547798724337,164.4125519
BA,2017-06-16,2017-06-16,EXTREME_ENTRY,75,2017-06-16,77.09201442869238,185.1009369
BA,2017-06-23,2017-06-23,EXTREME_PERSISTENCE,75,2017-06-16,79.85510312053361,190.5567169
BA,2017-07-28,2017-07-28,EXTREME_ESCALATION,80,2017-06-16,87.16505626259196,227.3432007
BA,2017-08-11,2017-08-11,EXTREME_DECELERATION,80,2017-06-16,81.42974478388115,222.6421204
BA,2018-03-16,2018-03-16,COOLING_EXIT,80,2017-06-16,62.348486047254376,316.4901428
BAC,2016-11-11,2016-11-11,EXTREME_ENTRY,75,2016-11-11,77.57983913090303,15.29215145
BAC,2016-11-18,2016-11-18,EXTREME_ESCALATION,80,2016-11-11,80.59337102430953,16.08007622
BAC,2016-11-18,2016-11-18,EXTREME_PERSISTENCE,80,2016-11-11,80.59337102430953,16.08007622
BAC,2016-12-23,2016-12-23,EXTREME_DECELERATION,80,2016-11-11,82.25545466966642,18.23789597
BAC,2017-03-24,2017-03-24,COOLING_EXIT,80,2016-11-11,59.79823621827239,18.71439934
BAC,2018-01-19,2018-01-19,EXTREME_ENTRY,75,2018-01-19,76.3751016333214,26.00207138
BAC,2018-01-26,2018-01-26,EXTREME_PERSISTENCE,75,2018-01-19,77.62935365575021,26.39554596
BAC,2018-02-09,2018-02-09,EXTREME_DECELERATION,75,2018-01-19,62.72654234628331,24.86263657
BAC,2018-02-09,2018-02-09,COOLING_EXIT,75,2018-01-19,62.72654234628331,24.86263657
BAC,2021-04-02,2021-04-01,EXTREME_ENTRY,75,2021-04-02,76.20529680133544,34.79278183
BAC,2021-04-09,2021-04-09,EXTREME_PERSISTENCE,75,2021-04-02,77.0190226678466,35.2333107
BAC,2021-06-04,2021-06-04,EXTREME_ESCALATION,80,2021-04-02,80.29459861683753,38.28364182
BAC,2021-06-18,2021-06-18,EXTREME_DECELERATION,80,2021-04-02,56.3211381180014,34.31105804
BAC,2021-06-18,2021-06-18,COOLING_EXIT,80,2021-04-02,56.3211381180014,34.31105804
BAC,2024-07-19,2024-07-19,EXTREME_ENTRY,75,2024-07-19,77.81362475828635,40.98106003
BAC,2024-07-26,2024-07-26,COOLING_EXIT,75,2024-07-19,69.202583650724,39.80607224
CAT,2014-05-16,2014-05-16,EXTREME_ENTRY,75,2014-05-16,75.57862873558821,78.41322327
