evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0001104659-25-045244,SEC8K-0001104659-25-045244,0001104659-25-045244,0001535527,2025-05-07,2.05,https://www.sec.gov/Archives/edgar/data/1535527/000110465925045244/tm2514190d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-127594,SEC8K-0001193125-25-127594,0001193125-25-127594,0000040704,2025-05-27,2.05,https://www.sec.gov/Archives/edgar/data/40704/000119312525127594/d908212d8k.htm,PENDING
STRUCTURAL-EVAL-0001415404-25-000017,SEC8K-0001415404-25-000017,0001415404-25-000017,0001415404,2025-05-30,2.04,https://www.sec.gov/Archives/edgar/data/1415404/000141540425000017/tmb-20250530x8k.htm,PENDING
STRUCTURAL-EVAL-0001415404-25-000024,SEC8K-0001415404-25-000024,0001415404-25-000024,0001415404,2025-06-02,2.04,https://www.sec.gov/Archives/edgar/data/1415404/000141540425000024/tmb-20250602x8k.htm,PENDING
STRUCTURAL-EVAL-0001489393-25-000033,SEC8K-0001489393-25-000033,0001489393-25-000033,0001489393,2025-06-05,2.05,https://www.sec.gov/Archives/edgar/data/1489393/000148939325000033/lyb-20250605.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-141454,SEC8K-0001193125-25-141454,0001193125-25-141454,0001137789,2025-06-16,2.04,https://www.sec.gov/Archives/edgar/data/1137789/000119312525141454/d77702d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-143162,SEC8K-0001193125-25-143162,0001193125-25-143162,0000898293,2025-06-20,2.05,https://www.sec.gov/Archives/edgar/data/898293/000119312525143162/d70947d8ka.htm,PENDING
STRUCTURAL-EVAL-0001415404-25-000031,SEC8K-0001415404-25-000031,0001415404-25-000031,0001415404,2025-06-27,2.04,https://www.sec.gov/Archives/edgar/data/1415404/000141540425000031/tmb-20250627x8k.htm,PENDING
STRUCTURAL-EVAL-0000050863-25-000107,SEC8K-0000050863-25-000107,0000050863-25-000107,0000050863,2025-07-24,2.05,https://www.sec.gov/Archives/edgar/data/50863/000005086325000107/intc-20250724.htm,PENDING
STRUCTURAL-EVAL-0001104659-25-071380,SEC8K-0001104659-25-071380,0001104659-25-071380,0000310158,2025-07-29,2.05,https://www.sec.gov/Archives/edgar/data/310158/000110465925071380/tm2521736d1_8k.htm,PENDING
STRUCTURAL-EVAL-0000021665-25-000040,SEC8K-0000021665-25-000040,0000021665-25-000040,0000021665,2025-08-01,2.05,https://www.sec.gov/Archives/edgar/data/21665/000002166525000040/cl-20250731.htm,PENDING
STRUCTURAL-EVAL-0001001250-25-000093,SEC8K-0001001250-25-000093,0001001250-25-000093,0001001250,2025-08-01,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125025000093/el-20240201.htm,PENDING
STRUCTURAL-EVAL-0000051434-25-000059,SEC8K-0000051434-25-000059,0000051434-25-000059,0000051434,2025-08-21,2.05|2.06,https://www.sec.gov/Archives/edgar/data/51434/000005143425000059/ip-20250820.htm,PENDING
STRUCTURAL-EVAL-0000051434-25-000060,SEC8K-0000051434-25-000060,0000051434-25-000060,0000051434,2025-08-21,2.05|2.06,https://www.sec.gov/Archives/edgar/data/51434/000005143425000060/ip-20250820.htm,PENDING
STRUCTURAL-EVAL-0000035527-25-000185,SEC8K-0000035527-25-000185,0000035527-25-000185,0000035527,2025-09-09,2.06,https://www.sec.gov/Archives/edgar/data/35527/000003552725000185/fitb-20250905.htm,PENDING
