queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0001104659-10-022104,P2_LONG_HISTORY,SEC8K-0001104659-10-022104,0001001250,0001104659-10-022104,2010-04-27,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465910022104/a10-8728_18ka.htm,PENDING,,,PENDING
IDENTITY-0000950123-10-048531,P2_LONG_HISTORY,SEC8K-0000950123-10-048531,0000936395,0000950123-10-048531,2010-05-12,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/936395/000095012310048531/w78516e8vk.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-128222,P2_LONG_HISTORY,SEC8K-0001193125-10-128222,0001014473,0001193125-10-128222,2010-05-25,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1014473/000119312510128222/d8k.htm,PENDING,,,PENDING
IDENTITY-0000947871-10-000664,P2_LONG_HISTORY,SEC8K-0000947871-10-000664,0001144519,0000947871-10-000664,2010-06-04,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1144519/000094787110000664/ss93123_8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-133068,P2_LONG_HISTORY,SEC8K-0001193125-10-133068,0001341439,0001193125-10-133068,2010-06-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1341439/000119312510133068/d8k.htm,PENDING,,,PENDING
IDENTITY-0000047111-10-000021,P2_LONG_HISTORY,SEC8K-0000047111-10-000021,0000047111,0000047111-10-000021,2010-06-15,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/47111/000004711110000021/f8k_06142010.htm,PENDING,,,PENDING
IDENTITY-0000009389-10-000026,P2_LONG_HISTORY,SEC8K-0000009389-10-000026,0000009389,0000009389-10-000026,2010-06-21,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/9389/000000938910000026/f8-k.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-035401,P2_LONG_HISTORY,SEC8K-0001104659-10-035401,0001001250,0001104659-10-035401,2010-06-24,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465910035401/a10-12543_18ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-155791,P2_LONG_HISTORY,SEC8K-0001193125-10-155791,0000310158,0001193125-10-155791,2010-07-08,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/310158/000119312510155791/d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-158812,P2_LONG_HISTORY,SEC8K-0001193125-10-158812,0001014473,0001193125-10-158812,2010-07-14,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1014473/000119312510158812/d8ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-173664,P2_LONG_HISTORY,SEC8K-0001193125-10-173664,0001014473,0001193125-10-173664,2010-08-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1014473/000119312510173664/d8ka.htm,PENDING,,,PENDING
IDENTITY-0001407702-10-000009,P2_LONG_HISTORY,SEC8K-0001407702-10-000009,0001031296,0001407702-10-000009,2010-08-13,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1031296/000140770210000009/main8_k.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-045248,P2_LONG_HISTORY,SEC8K-0001104659-10-045248,0001001250,0001104659-10-045248,2010-08-20,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465910045248/a10-16165_18ka.htm,PENDING,,,PENDING
IDENTITY-0000950123-10-084690,P2_LONG_HISTORY,SEC8K-0000950123-10-084690,0000936395,0000950123-10-084690,2010-09-09,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/936395/000095012310084690/w79771e8vkza.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-049015,P2_LONG_HISTORY,SEC8K-0001104659-10-049015,0001326160,0001104659-10-049015,2010-09-17,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1326160/000110465910049015/a10-18075_18k.htm,PENDING,,,PENDING
IDENTITY-0000086521-10-000057,P2_LONG_HISTORY,SEC8K-0000086521-10-000057,0001032208,0000086521-10-000057,2010-09-20,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1032208/000008652110000057/se8k9202010.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-049239,P2_LONG_HISTORY,SEC8K-0001104659-10-049239,0000001800,0001104659-10-049239,2010-09-21,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1800/000110465910049239/a10-18159_18k.htm,PENDING,,,PENDING
IDENTITY-0000950123-10-092781,P2_LONG_HISTORY,SEC8K-0000950123-10-092781,0000789570,0000950123-10-092781,2010-10-12,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/789570/000095012310092781/p18232e8vk.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-244359,P2_LONG_HISTORY,SEC8K-0001193125-10-244359,0000712515,0001193125-10-244359,2010-11-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/712515/000119312510244359/d8k.htm,PENDING,,,PENDING
IDENTITY-0001031296-10-000035,P2_LONG_HISTORY,SEC8K-0001031296-10-000035,0001031296,0001031296-10-000035,2010-11-17,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000035/main8_k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-276913,P2_LONG_HISTORY,SEC8K-0001193125-10-276913,0001109357,0001193125-10-276913,2010-12-09,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312510276913/d8k.htm,PENDING,,,PENDING
IDENTITY-0000310764-10-000083,P2_LONG_HISTORY,SEC8K-0000310764-10-000083,0000310764,0000310764-10-000083,2010-12-10,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/310764/000031076410000083/syk8k121010.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-063364,P2_LONG_HISTORY,SEC8K-0001104659-10-063364,0001001250,0001104659-10-063364,2010-12-17,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465910063364/a10-23783_18ka.htm,PENDING,,,PENDING
IDENTITY-0001206774-11-000003,P2_LONG_HISTORY,SEC8K-0001206774-11-000003,0000021076,0001206774-11-000003,2011-01-03,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/21076/000120677411000003/clorox_8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-11-002665,P2_LONG_HISTORY,SEC8K-0001193125-11-002665,0001097864,0001193125-11-002665,2011-01-06,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1097864/000119312511002665/d8k.htm,PENDING,,,PENDING
IDENTITY-0000004962-11-000006,P2_LONG_HISTORY,SEC8K-0000004962-11-000006,0000004962,0000004962-11-000006,2011-01-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/4962/000000496211000006/consolidation8k.htm,PENDING,,,PENDING
